# Kaynak: IBB Acik Veri Portali - Ilcelere Gore Dogalgaz Kullanim Sinifi Bazinda
#   Kullanici Sayisi ve Tuketim Miktari (yayinci: IGDAS)
# URL: https://data.ibb.gov.tr/dataset/istanbul-ilceleri-dogalgaz-kullanim-sinifi-kullanici-sayisi-tuketim-miktari
# CKAN resource id: 86bc29a5-751a-4e83-a9de-0a103da94483 (indirilen dosya formati: XLSX,
#   sheet=Report; portaldaki son guncelleme tarihi: 2026-02-24)
# Cekilme tarihi: 2026-08-20
# Filtre: Yil=2025, Kullanici Sinifi=MESKEN (Ticari/Sanayi/Resmi vb. disarida birakildi)
# Kolonlar orijinal basliklardan degistirilmeden: ilce, kullanim_sinifi,
#   kullanici_sayisi (Tuketim Yapan Gaz Kullanici Sayisi, Sayac-Adet),
#   tuketim_m3 (Duzeltilmis Tuketim, m3)
#
# ACIK SORU - COZULMEDI: portalda kullanici_sayisi (sayac-adet) kolonunun tam olarak
# neyi olctugune dair bir metodoloji notu yok (yillik farkli sayac mi, donem ici bir
# ortalama mi, vb.). Ornegin tek basina OCAK+KOMBI kategorisinin 2025 Istanbul mesken
# sayac toplami (4.436.039) Adim 1 populasyon modelinin uretttigi Istanbul kombi hane
# sayisindan (2.643.287) belirgin sekilde yuksek -- bu sayi dogrudan kullanilmadan once
# (merkezi_pay/penetrasyon hesabinda) ayrica arastirilacak, burada VARSAYILMADI.
ilce,kullanim_sinifi,kullanici_sayisi,tuketim_m3
ADALAR,KASKAT KOMBİ,1,100.908205112906
ADALAR,KASKAT KOMBİ+OCAK,1,6775.6265775974
ADALAR,KASKAT KOMBİ+OCAK+SOBA,1,4190.47084241503
ADALAR,KOMBİ,388,261867.132781085
ADALAR,MERKEZİ ISINMA,10,42914.1040318398
ADALAR,MERKEZİ ISINMA+BOYLER,1,15.9394095113718
ADALAR,MERKEZİ ISINMA+OCAK,15,9645.50047589622
ADALAR,MERKEZİ+OCAK+KOMBİ,4,2378.00637281426
ADALAR,OCAK,94,7854.28679985429
ADALAR,OCAK+KOMBİ,9217,6187822.50913012
ADALAR,OCAK+SOBA,33,13103.8648676877
ADALAR,OCAK+SOBA+KOMBİ,5,6346.34059963545
ADALAR,OCAK+SOBA+ŞOFBEN,2,8.32350122095789
ADALAR,OCAK+ŞOFBEN,150,11526.6224618837
ADALAR,OCAK+ŞOFBEN+KOMBİ,1,1983.04402848576
ADALAR,SOBA,6,4715.30727454227
ADALAR,SOBA+KOMBİ,1,1767.98142674098
ADALAR,ÜRETİM+OCAK+MERKEZİ,1,2269.38144925216
ADALAR,ŞOFBEN,2,215.256358147589
ARNAVUTKÖY,KASKAT KOMBİ,11,462396.951274963
ARNAVUTKÖY,KASKAT KOMBİ+OCAK,1,3766.37152626045
ARNAVUTKÖY,KOMBİ,337,738901.681029045
ARNAVUTKÖY,MERKEZİ ISINMA,145,4724778.70911846
ARNAVUTKÖY,MERKEZİ ISINMA+OCAK,2015,201083.419774728
ARNAVUTKÖY,MERKEZİ+OCAK+KOMBİ,297,107186.599336329
ARNAVUTKÖY,MERKEZİ+OCAK+SOBA,1,0
ARNAVUTKÖY,MERKEZİ+OCAK+ŞOFBEN,1110,264803.58244109
ARNAVUTKÖY,OCAK,221,132074.629550275
ARNAVUTKÖY,OCAK+KOMBİ,78218,69819112.2495838
ARNAVUTKÖY,OCAK+SOBA,5449,3541977.0794396
ARNAVUTKÖY,OCAK+SOBA+KOMBİ,24554,25489787.0915278
ARNAVUTKÖY,OCAK+SOBA+KOMBİ+MERKEZİ,2,2647.94320178311
ARNAVUTKÖY,OCAK+SOBA+ŞOFBEN,2544,2088855.74896347
ARNAVUTKÖY,OCAK+ŞOFBEN,55,29335.7996517854
ARNAVUTKÖY,OCAK+ŞOFBEN+KOMBİ,3,15212.1864277309
ARNAVUTKÖY,SOBA,43,20380.7711266796
ARNAVUTKÖY,SOBA+KOMBİ,18,18110.9279117748
ARNAVUTKÖY,ŞOFBEN+MERKEZİ,1,187.781399511028
ARNAVUTKÖY,ŞOFBEN+SOBA,13,6628.3541692066
ATAŞEHİR,KASKAT KOMBİ,64,947979.635463726
ATAŞEHİR,KOMBİ,1101,1349819.58282114
ATAŞEHİR,KOMBİ+MERKEZİ,3,8.83207965493477
ATAŞEHİR,MERKEZİ ISINMA,417,31862815.831177
ATAŞEHİR,MERKEZİ ISINMA+BOYLER,12,838577.235560878
ATAŞEHİR,MERKEZİ ISINMA+OCAK,10537,644327.931988006
ATAŞEHİR,MERKEZİ+OCAK+KOMBİ,789,94783.6137293772
ATAŞEHİR,MERKEZİ+OCAK+SOBA,2,258.554028391317
ATAŞEHİR,MERKEZİ+OCAK+ŞOFBEN,7096,1182708.54491175
ATAŞEHİR,OCAK,223,98360.4653023955
ATAŞEHİR,OCAK+KOMBİ,127096,110626093.316284
ATAŞEHİR,OCAK+SOBA,974,621878.079338209
ATAŞEHİR,OCAK+SOBA+KOMBİ,279,271992.132244732
ATAŞEHİR,OCAK+SOBA+KOMBİ+MERKEZİ,1,23.1942069832495
